,University,Type,City,Website,Address,Credential Type,Email,Fax,Joint Credential Type,Joint Program Level,Program Level,Telephone,Toll Free
155,Olds College,Arboriculture Technician Certificate - Tree Care,"Olds, Alberta",http://www.oldscollege.ca/programs/horticulture/Arboriculture-Technician-Certificate/index,"Olds College4500 - 50th StreetOlds, Alberta T4H 1R6Canada",Certificate, ,(403) 556-4711,Not entered,Not entered,College or CEGEP postsecondary program,(403) 556-8281,1-800-661-6537 
156,Northern Alberta Institute of Technology (NAIT),ArcGIS Technology Specialty Certificate,"Edmonton, Alberta",http://www.nait.ca/program_home_63972.htm,"Northern Alberta Institute of Technology (NAIT)11762 - 106 StreetEdmonton, Alberta T5G 2R1Canada",Certificate,AskNAIT@nait.ca,(780) 471-8490,Not entered,Not entered,College or CEGEP postsecondary program,(780) 471-6248,1-877-333-6248
157,University of Calgary ,Archaeology (B.A.),"Calgary, Alberta",http://www.ucalgary.ca/future-students/undergraduate/explore-programs/archaeology,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Degree,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,"Bachelor degree (B.A., B.Sc)",(403) 210-7625,
158,University of Calgary ,Archaeology (MA),"Calgary, Alberta",http://antharky.ucalgary.ca/graduate,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Degree,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,"Master's Degree (M.A., M.Sc.)",(403) 210-7625,
159,University of Calgary ,Archaeology (PhD),"Calgary, Alberta",http://antharky.ucalgary.ca/graduate,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Degree,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,Ph.D (Doctorate),(403) 210-7625,
160,Digital School,Architectural CAD Technician Diploma,"Edmonton, Alberta",http://www.digitalschool.ca/programs/architectural/index.cfm,"Digital School10010-100 StreetEdmonton, Alberta T5J 0N3Canada",Diploma,learn@digitalschool.ca,,Not entered,Not entered,Non-postsecondary trade/vocational or pre-employment program,(414) 414-0200, 1-877-414-0200
161,Southern Alberta Institute of Technology (SAIT),Architectural Technologies - General,"Calgary, Alberta",http://www.sait.ca/programs-and-courses/full-time-studies/diplomas/architectural-technologies-course-overview.php,"Southern Alberta Institute of Technology - Main Campus1301 16th Ave NWCalgary, Alberta T2M 0L4Canada",Diploma,advising@sait.ca,(403) 284-7112,Not entered,Not entered,College or CEGEP postsecondary program,(403) 284-7248,1-877-284-7248
162,Southern Alberta Institute of Technology (SAIT),Architectural Technologies - Major in Architectural,"Calgary, Alberta",http://www.sait.ca/programs-and-courses/full-time-studies/diplomas/architectural-technologies-course-overview.php,"Southern Alberta Institute of Technology - Main Campus1301 16th Ave NWCalgary, Alberta T2M 0L4Canada",Diploma,advising@sait.ca,(403) 284-7112,Unknown,University Graduate unknown level,College or CEGEP postsecondary program,(403) 284-7248,1-877-284-7248
163,Southern Alberta Institute of Technology (SAIT),Architectural Technologies - Major in Building Development,"Calgary, Alberta",http://www.sait.ca/programs-and-courses/full-time-studies/diplomas/architectural-technologies-course-overview.php,"Southern Alberta Institute of Technology - Main Campus1301 16th Ave NWCalgary, Alberta T2M 0L4Canada",Diploma,advising@sait.ca,(403) 284-7112,Unknown,University Graduate unknown level,College or CEGEP postsecondary program,(403) 284-7248,1-877-284-7248
164,Northern Alberta Institute of Technology (NAIT),Architectural Technology,"Edmonton, Alberta",http://www.nait.ca/program_home_76091.htm,"Northern Alberta Institute of Technology (NAIT)11762 - 106 StreetEdmonton, Alberta T5G 2R1Canada",Diploma,AskNAIT@nait.ca,(780) 471-8490,Not entered,Not entered,College or CEGEP postsecondary program,(780) 471-6248,1-877-333-6248
165,University of Calgary ,Architecture (MArch),"Calgary, Alberta",http://evds.ucalgary.ca/content/architecture,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Degree,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,"Master's Degree (M.A., M.Sc.)",(403) 210-7625,
166,Keyano College,Art and Design Certificate,"Fort, Alberta",http://www.keyano.ca/Academics/Programs/ArtDesignCertificate,"Clearwater Campus8115 Franklin AvenueFort McMurray, Alberta T9H 2H7Canada",Certificate,registrar@keyano.ca,,Not entered,Not entered,College or CEGEP postsecondary program,(780) 791-4800,1-800-251-1408
167,University of Alberta,"Art and Design (MA, MDes, MFA)","Edmonton, Alberta",http://uofa.ualberta.ca/graduate-studies/programs/search#981ADC92B0BD4B3EBFB3BDE99EB6A6AD,"University of Alberta116 St. and 85 Ave.Edmonton, Alberta T6G 2R3Canada",Degree,,,Not entered,Not entered,"Master's Degree (M.A., M.Sc.)",(780) 492-3111,
168,University of Alberta,Art and Design (PhD),"Edmonton, Alberta",http://uofa.ualberta.ca/graduate-studies/programs/search#981ADC92B0BD4B3EBFB3BDE99EB6A6AD,"University of Alberta116 St. and 85 Ave.Edmonton, Alberta T6G 2R3Canada",Degree,,,Not entered,Not entered,Ph.D (Doctorate),(780) 492-3111,
169,University of Calgary ,Art (MFA),"Calgary, Alberta",http://art.ucalgary.ca/graduate,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Degree,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,"Master's Degree (M.A., M.Sc.)",(403) 210-7625,
170,Portage College,Artisan Entrepreuneur Diploma,"Lac, Alberta",http://www.portagecollege.ca/Programs/Native-Arts-and-Culture/Artisan-Entrepreneurship-Diploma,"Portage College - Lac La Biche Campus9531-94 AvenueLac La Biche, Alberta T0A 2C0Canada",Diploma,,,Not entered,Not entered,College or CEGEP postsecondary program,,1-866-623-5551
171,The King's University College,Artist's Diploma,"Edmonton, Alberta",https://www.kingsu.ca/programs/majors/music,"King's University College9125 50 StreetEdmonton, Alberta T6B 2H3Canada",Diploma,,(780) 465-3534,Unknown,University Graduate unknown level,Undergraduate level certificate or diploma,(780) 465-3500,1-800-661-8582
172,Grant MacEwan University,Arts & Cultural Management,"Edmonton, Alberta",http://www.macewan.ca/wcm/SchoolsFaculties/FFAC/Programs/ArtsCulturalManagement/index.htm,"Grant MacEwan University10700 - 104 AvenueEdmonton, Alberta T5J 4S2Canada",Diploma,info@macewan.ca,(708) 497-5001,Not entered,Not entered,College or CEGEP postsecondary program,(708) 497-5040,1-888-497-4622
173,Medicine Hat College,Arts and Science Transfer Program - University of Saskatchewan,"Medicine, Alberta",https://www.mhc.ab.ca/ProgramsandCourses/Academic%20Programs/Programs%20of%20Study/Arts%20UT.aspx,"Medicine Hat College299 College Drive SEMedicine Hat, Alberta T1A 3Y6Canada",Other college post-secondary credential,info@mhc.ab.ca,(403) 504-3517,Not entered,Not entered,College Preliminary Year ,(403) 529-3811,1-866-282-8394
174,Medicine Hat College,Arts Transfer Program - University of Alberta,"Medicine, Alberta",https://www.mhc.ab.ca/ProgramsandCourses/Academic%20Programs/Programs%20of%20Study/Arts%20UT.aspx,"Medicine Hat College299 College Drive SEMedicine Hat, Alberta T1A 3Y6Canada",Other college post-secondary credential,info@mhc.ab.ca,(403) 504-3517,Not entered,Not entered,University Preliminary Year / pre-Bachelor,(403) 529-3811,1-866-282-8394
175,Medicine Hat College,Arts Transfer Program - University of Calgary,"Medicine, Alberta",https://www.mhc.ab.ca/ProgramsandCourses/Academic%20Programs/Programs%20of%20Study/Arts%20UT.aspx,"Medicine Hat College299 College Drive SEMedicine Hat, Alberta T1A 3Y6Canada",Other college post-secondary credential,info@mhc.ab.ca,(403) 504-3517,Not entered,Not entered,College Preliminary Year ,(403) 529-3811,1-866-282-8394
176,Medicine Hat College,Arts Transfer Program - University of Lethbridge,"Medicine, Alberta",https://www.mhc.ab.ca/ProgramsandCourses/Academic%20Programs/Programs%20of%20Study/Arts%20UT.aspx,"Medicine Hat College299 College Drive SEMedicine Hat, Alberta T1A 3Y6Canada",Other college post-secondary credential,info@mhc.ab.ca,(403) 504-3517,Not entered,Not entered,College Preliminary Year ,(403) 529-3811,1-866-282-8394
177,Medicine Hat College,Arts Transfer Program - University of Regina,"Medicine, Alberta",https://www.mhc.ab.ca/ProgramsandCourses/Academic%20Programs/Programs%20of%20Study/Arts%20UT.aspx,"Medicine Hat College299 College Drive SEMedicine Hat, Alberta T1A 3Y6Canada",Other college post-secondary credential,info@mhc.ab.ca,(403) 504-3517,Not entered,Not entered,College Preliminary Year ,(403) 529-3811,1-866-282-8394
178,Grant MacEwan University,Asia-Pacific Management,"Edmonton, Alberta",http://www.macewan.ca/wcm/SchoolsFaculties/Business/Programs/AsiaPacificManagement/index.htm,"Grant MacEwan University10700 - 104 AvenueEdmonton, Alberta T5J 4S2Canada",Diploma,info@macewan.ca,(708) 497-5001,Not entered,Not entered,College or CEGEP postsecondary program,(708) 497-5040,1-888-497-4622
179,Keyano College,Asset Planning and Management,"Fort, Alberta",http://www.keyano.ca/ContinuingEducation/ProfessionalCertificatesDesignations/AssetPlanningandManagement,"Clearwater Campus8115 Franklin AvenueFort McMurray, Alberta T9H 2H7Canada",Certificate,registrar@keyano.ca,,Not entered,Not entered,College or CEGEP postsecondary program,(780) 791-4800,1-800-251-1408
180,CDI College,Assistance in Health Care Facilities,"Abbotsford, Columbia",http://www.cdicollege.ca/Programs-and-Courses/Assistance-in-Health-Care-Facilities-5816-(English),"CDI College - Abbotsford Campus31838 South Fraser WayAbbotsford, British Columbia V2T 1V3Canada",Diploma,,,Not entered,Not entered,College or CEGEP postsecondary program,,1-800-675-4392
181,CDI College,Assistance in Health Care Facilities (French),"Abbotsford, Columbia",http://www.cdicollege.ca/programs-and-courses/assistance-in-health-care-facilities-5316-(french)/,"CDI College - Abbotsford Campus31838 South Fraser WayAbbotsford, British Columbia V2T 1V3Canada",Diploma,,,Unknown,Not entered,College or CEGEP postsecondary program,,1-800-675-4392
182,Ambrose University College,Associate in Ministry Diploma,"Calgary, Alberta",https://ambrose.edu/arts%26science/associate-ministry-diploma,"Ambrose University College150 Ambrose Circle S.W.Calgary, Alberta T3H 0L5Canada",Diploma,reception@ambrose.edu,(403) 571-2556,Not entered,Not entered,Undergraduate level certificate or diploma,(403) 410-2000,1-800-461-1222
183,Prairie Bible Institute,Associate of Arts in General Studies,"Three, Alberta",http://prairie.edu/Bible-College/Associate-of-Arts-General-Studies,"Prairie Bible Institute350 5th Ave NEThree Hills, Alberta T0M 2N0Canada",Diploma,info@prairie.edu,(403) 443-5540,Not entered,Not entered,College or CEGEP postsecondary program,(403) 443-5511,1-(800) 661-2425
184,Prairie Bible Institute,Associate of Arts in Ministry - Outdoor Leadership,"Three, Alberta",http://prairie.edu/Bible-College/Outdoor-Leadership,"Prairie Bible Institute350 5th Ave NEThree Hills, Alberta T0M 2N0Canada",Diploma,info@prairie.edu,(403) 443-5540,Not entered,Not entered,College or CEGEP postsecondary program,(403) 443-5511,1-(800) 661-2425
185,Prairie Bible Institute,Associate of Arts in Ministry - Religious Studies,"Three, Alberta",http://prairie.edu/Bible-College/Religious-Studies,"Prairie Bible Institute350 5th Ave NEThree Hills, Alberta T0M 2N0Canada",Diploma,info@prairie.edu,(403) 443-5540,Not entered,Not entered,College or CEGEP postsecondary program,(403) 443-5511,1-(800) 661-2425
186,Prairie Bible Institute,Associate of Arts in Mission Aviation,"Three, Alberta",http://prairie.edu/Bible-College/Aviation,"Prairie Bible Institute350 5th Ave NEThree Hills, Alberta T0M 2N0Canada",Diploma,info@prairie.edu,(403) 443-5540,Not entered,Not entered,College or CEGEP postsecondary program,(403) 443-5511,1-(800) 661-2425
187,Peace River Bible Institute,Associate of Christian Studies,"Sexsmith, Alberta",http://www.prbi.edu/ACS,"Peace River Bible Institute9601 100th StreetSexsmith, Alberta T0H 3C0Canada",Diploma,prbi@prbi.edu,(780) 568-4431,Not entered,Not entered,Undergraduate level certificate or diploma,(780) 568-3962,1-800-959-7724
188,Grande Prairie Regional College,Associate of Science,"Grande, Alberta",https://www.gprc.ab.ca/programs/associate-of-science.html,"Grande Prairie Regional College - Grande Prairie Campus10726-106 AvenueGrande Prairie, Alberta T8V 4C4Canada",Other type of credential,,(1-780) 539-2832 ,Unknown,University Graduate unknown level,College or CEGEP postsecondary program,(780) 539-2911,1-888-539-4772
189,University of Calgary ,Astrophysics (B.Sc.),"Calgary, Alberta",http://www.ucalgary.ca/future-students/undergraduate/explore-programs/astrophysics,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Degree,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,"Bachelor degree (B.A., B.Sc)",(403) 210-7625,
190,University of Calgary ,Astrophysics (M.Sc.),"Calgary, Alberta",http://phas.ucalgary.ca/graduate,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Degree,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,"Master's Degree (M.A., M.Sc.)",(403) 210-7625,
191,University of Calgary ,Astrophysics (PhD),"Calgary, Alberta",http://phas.ucalgary.ca/graduate,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Degree,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,Ph.D (Doctorate),(403) 210-7625,
192,Mount Royal University,Athletic Therapy - Advanced Certificate,"Calgary, Alberta",http://www.mtroyal.ca/ProgramsCourses/FacultiesSchoolsCentres/HealthCommunityStudies/Programs/AthleticTherapyAdvancedCertificate/index.htm,"Mount Royal University - Lincoln Park Campus4825 Mount Royal Gate SWCalgary, Alberta T3E 6K6Canada",Certificate,,,Not entered,Not entered,College or CEGEP postsecondary program,(403) 440-6111,
193,Lambton College of Applied Arts and Technology,Autism and Behavioural Science,"Sarnia, Ontario",http://www.lambtoncollege.ca/custom/LambtonApps/Programs/International.aspx?id=2147503171&type=TF,"Lambton College - Main Campus1457 London RoadSarnia, Ontario N7S 6K4Canada",Certificate,info@lambtoncollege.ca ,,Not entered,Not entered,College or CEGEP postsecondary program,(519) 542-7751,
194,Southern Alberta Institute of Technology (SAIT),Auto Body Technician,"Calgary, Alberta",http://www.sait.ca/programs-and-courses/apprenticeships-and-trades/apprenticeships/apprenticeship-auto-body-technician.php,"Southern Alberta Institute of Technology - Main Campus1301 16th Ave NWCalgary, Alberta T2M 0L4Canada",Certificate,advising@sait.ca,(403) 284-7112,Not entered,Not entered,Apprenticeship Program,(403) 284-7248,1-877-284-7248
195,Northern Alberta Institute of Technology (NAIT),Auto Body Technician  Apprenticeship,"Edmonton, Alberta",http://www.nait.ca/program_home_80736.htm,"Northern Alberta Institute of Technology (NAIT)11762 - 106 StreetEdmonton, Alberta T5G 2R1Canada",Certificate,AskNAIT@nait.ca,(780) 471-8490,Not entered,Not entered,Apprenticeship Program,(780) 471-6248,1-877-333-6248
196,Northern Alberta Institute of Technology (NAIT),Autobody Technician Pre-Employment,"Edmonton, Alberta",http://www.nait.ca/program_home_76119.htm,"Northern Alberta Institute of Technology (NAIT)11762 - 106 StreetEdmonton, Alberta T5G 2R1Canada",Certificate,AskNAIT@nait.ca,(780) 471-8490,Not entered,Not entered,Non-postsecondary trade/vocational or pre-employment program,(780) 471-6248,1-877-333-6248
197,Southern Alberta Institute of Technology (SAIT),AutoCAD Certificate of Completion,"Calgary, Alberta",http://www.sait.ca/programs-and-courses/continuing-education/courses-and-certificates/autocad-certificate-of-completion.php,"Southern Alberta Institute of Technology - Main Campus1301 16th Ave NWCalgary, Alberta T2M 0L4Canada",Certificate,advising@sait.ca,(403) 284-7112,Unknown,Not entered,College or CEGEP postsecondary program,(403) 284-7248,1-877-284-7248
198,Northern Alberta Institute of Technology (NAIT),AutoCAD Operator Certificate,"Edmonton, Alberta",http://www.nait.ca/program_home_16186.htm,"Northern Alberta Institute of Technology (NAIT)11762 - 106 StreetEdmonton, Alberta T5G 2R1Canada",Certificate,AskNAIT@nait.ca,(780) 471-8490,Not entered,Not entered,College or CEGEP postsecondary program,(780) 471-6248,1-877-333-6248
199,Medicine Hat College,Automotive Service Technician,"Medicine, Alberta",https://www.mhc.ab.ca/ProgramsandCourses/Academic%20Programs/Programs%20of%20Study/Automotive%20Service%20Technician.aspx,"Medicine Hat College299 College Drive SEMedicine Hat, Alberta T1A 3Y6Canada",Certificate,info@mhc.ab.ca,(403) 504-3517,Not entered,Not entered,Apprenticeship Program,(403) 529-3811,1-866-282-8394
200,Lakeland College,Automotive Service Technician,"Vermilion, Alberta",http://www.lakelandcollege.ca/academics/trades-tech-apprenticeship/programs-and-courses/automotive-service-technician/,"Lakeland College5707 College DriveVermilion, Alberta T9X 1K5Canada",Certificate,admissions@lakelandcollege.ca,,Not entered,Not entered,Apprenticeship Program,(780) 853-8400,1-800-661-6490
